####################################################################
# The columns in the output are:
# seconds latitude longitude heartRate elevation distance speed smooth
####################################################################
0 60.73584 24.750995 81 91.2 0 0 0
1 60.735878 24.750993 81 91.2 4.22723007338795 15.2180282641966 0
2 60.735897 24.75098 81 91.2 2.22796736723441 8.02068252204387 0
6 60.73596 24.750983 81 91.0 7.00788196954532 6.30709377259079 0
14 60.735973 24.75102 81 90.6 2.47701607781927 1.11465723501867 0
18 60.736005 24.750995 80 90.6 3.80927476700185 3.42834729030167 6.13209235876999
20 60.736038 24.750963 81 90.8 4.06122134550094 7.3101984219017 6.13209235876999
21 60.736057 24.75093 81 90.8 2.77174515319538 9.97828255150338 6.13209235876999
22 60.736077 24.750888 81 90.8 3.18741209032472 11.474683525169 6.13209235876999
23 60.736102 24.750855 81 90.8 3.30868507211635 11.9112662596189 6.13209235876999
24 60.736127 24.750847 82 91.0 2.81396095410881 10.1302594347917 8.13488615163859
25 60.736153 24.750852 82 91.0 2.9041061238877 10.4547820459957 8.13488615163859
26 60.736192 24.75088 83 90.8 4.59638073355104 16.5469706407838 8.13488615163859
27 60.73623 24.750913 83 90.6 4.59083635388692 16.5270108739929 8.13488615163859
28 60.736275 24.750957 84 90.4 5.54651766932591 19.9674636095733 8.13488615163859
29 60.73632 24.75101 83 90.2 5.77439586367632 20.7878251092347 12.6992454340691
30 60.736363 24.751055 83 90.2 5.37124510079745 19.3364823628708 12.6992454340691
31 60.736408 24.7511 82 90.0 5.57017177715226 20.0526183977481 12.6992454340691
32 60.736447 24.751135 83 90.0 4.73601827933 17.049665805588 12.6992454340691
33 60.736485 24.751173 84 90.2 4.70369833813079 16.9333140172708 12.6992454340691
34 60.73653 24.751208 86 90.2 5.35375720969477 19.2735259549012 14.6744161166956
35 60.736568 24.751242 87 90.0 4.61234208434128 16.6044315036286 14.6744161166956
36 60.736607 24.75128 88 90.0 4.80385147969285 17.2938653268943 14.6744161166956
37 60.736645 24.75132 88 90.0 4.75244381637766 17.1087977389596 14.6744161166956
38 60.736683 24.75136 88 89.8 4.75244263882321 17.1087934997636 14.6744161166956
39 60.736722 24.751392 89 89.4 4.67288415282399 16.8223829501664 13.6231776138492
40 60.73676 24.751427 88 89.4 4.63438832568801 16.6837979724768 13.6231776138492
41 60.7368 24.751458 89 89.4 4.75674706653522 17.1242894395268 13.6231776138492
42 60.736843 24.751495 92 89.6 5.18764015435011 18.6755045556604 13.6231776138492
43 60.736882 24.751532 93 89.6 4.78072075905315 17.2105947325913 13.6231776138492
44 60.73692 24.75157 93 89.6 4.70368604524691 16.9332697628889 13.9388373400511
45 60.73696 24.751605 91 89.2 4.83805027397552 17.4169809863119 13.9388373400511
46 60.736992 24.751638 90 89.0 3.98516885064701 14.3466078623292 13.9388373400511
47 60.737023 24.751675 91 89.0 3.99122145374913 14.3683972334969 13.9388373400511
48 60.737042 24.75171 93 89.0 2.84328145053068 10.2358132219105 13.9388373400511
49 60.737062 24.751738 92 88.8 2.69507154671886 9.70225756818791 11.2735598608097
50 60.73708 24.751763 94 88.8 2.41944055339479 8.70998599222125 11.2735598608097
56 60.737107 24.751802 96 89.0 3.67557938657339 2.20534763194403 11.2735598608097
57 60.737132 24.751818 96 89.0 2.91302510123803 10.4868903644569 11.2735598608097
58 60.737158 24.751845 96 88.6 3.24254696002569 11.6731690560925 11.2735598608097
59 60.737177 24.751888 96 88.6 3.15088933820545 11.3432016175396 6.61507860894293
60 60.737183 24.751947 96 88.6 3.27587461409671 11.7931486107482 6.61507860894293
61 60.73719 24.752008 97 88.6 3.40606873606192 12.2618474498229 6.61507860894293
62 60.737183 24.752082 96 88.6 4.09722146054865 14.7499972579751 6.61507860894293
63 60.737177 24.752163 97 88.4 4.45337770168006 16.0321597260482 6.61507860894293
64 60.737163 24.752252 101 88.4 5.08232178560114 18.2963584281641 10.9674306089189
65 60.737158 24.752347 101 88.4 5.19399127574543 18.6983685926836 10.9674306089189
66 60.737145 24.75245 101 88.4 5.78264765384804 20.8175315538529 10.9674306089189
67 60.737132 24.75256 101 88.4 6.15181825045194 22.146545701627 10.9674306089189
68 60.737118 24.752667 102 88.4 6.02122314251836 21.6764033130661 10.9674306089189
69 60.737107 24.752765 104 88.4 5.46587189741435 19.6771388306916 16.6677698322459
70 60.7371 24.75286 105 88.4 5.22249396070646 18.8009782585433 16.6677698322459
71 60.737093 24.752955 106 88.4 5.22249507425333 18.800982267312 16.6677698322459
72 60.73708 24.753043 107 88.2 4.99731781920719 17.9903441491459 16.6677698322459
73 60.737068 24.753133 108 88.0 5.07109448376721 18.255940141562 16.6677698322459
74 60.737055 24.753218 107 87.8 4.84144557847997 17.4292040825279 14.7696489633126
75 60.737055 24.753302 106 87.8 4.56620482342941 16.4383373643459 14.7696489633126
76 60.737042 24.753383 106 88.0 4.63438406203952 16.6837826233423 14.7696489633126
77 60.737037 24.753467 107 88.0 4.59993657808035 16.5597716810893 14.7696489633126
78 60.737023 24.753557 107 87.6 5.13411513947863 18.4828145021231 14.7696489633126
79 60.737017 24.753643 107 87.6 4.72230521881356 17.0002987877288 13.6329412341801
80 60.737023 24.753732 107 87.2 4.88380242222372 17.5816887200054 13.6329412341801
81 60.737037 24.753815 106 87.2 4.77291013974263 17.1824765030735 13.6329412341801
82 60.737055 24.753898 107 87.4 4.93594983663022 17.7694194118688 13.6329412341801
83 60.737075 24.753977 109 87.4 4.83618006956947 17.4102482504501 13.6329412341801
84 60.737093 24.75408 110 87.2 5.94609107648594 21.4059278753494 13.9887665770796
